id,purchase_url,status
"4378","https://www.flipkart.com/breil-fort-collins-full-sleeve-solid-men-jacket/p/itm91aee5605dbf7?pid=JCKGSN6BCZKMGUNU&cmpid=product.share.pp&_refId=PP.ff6c4e60-3974-4cf2-ac0c-2decb438ddd1.JCKGSN6BCZKMGUNU&_appId=WA","500"
"4392","https://www.flipkart.com/all/pr?sid=clo&offer=ns%3A1073f6ea28&p%5B%5D=facets.availability%255B%255D%3DExclude+Out+of+Stock&offerCategory=BuyMoreSaveMore&preOrderEnabled=false&sort=price_asc&pageUID=1734840783814&affExtParam1=EPTG2270349&affExtParam2=rmU77D","400"
"4419","https://www.flipkart.com/tabadtod-full-sleeve-graphic-print-men-women-sweatshirt/p/itmd5f4953f1397e?pid=SWSH485HYXH8WGJT&cmpid=product.share.pp&_refId=PP.ba77ea51-bba3-4b6d-aea5-8d01e3950ec9.SWSH485HYXH8WGJT&_appId=CL","500"
"4462","https://www.flipkart.com/roadster-full-sleeve-solid-men-jacket/p/itme8a374b78962d?pid=JCKH78TAZDYERPQZ&cmpid=product.share.pp&_refId=PP.3afb1f00-7d68-4ea5-be8a-02f294ad5303.JCKH78TAZDYERPQZ&_appId=WA","500"
"4482","https://www.flipkart.com/?affExtParam1=ENKR20250130A1304339942&affExtParam2=2017924","400"
"4509","https://www.flipkart.com/flyind-vogue-outfit-full-sleeve-printed-men-sweatshirt/p/itmc2391ebd43285?pid=SWSH4E9KAPCSDP8Z&cmpid=product.share.pp&_refId=PP.ed48ebd7-4e39-4e95-b106-8c3496aae9df.SWSH4E9KAPCSDP8Z&_appId=CL","500"
"4558","https://www.flipkart.com/yunek-solid-men-grey-track-pants/p/itmd7a75a4cf9d04?pid=TKPH5RPGEXRWZVPC&cmpid=product.share.pp&_refId=PP.5cdb2635-7002-4536-ad8a-8a54cf4508fc.TKPH5RPGEXRWZVPC&_appId=CL","500"
"4631","https://www.flipkart.com/roadster-full-sleeve-solid-men-jacket/p/itm84fee6bee6e8b?pid=JCKFZFNGBKQYFETW&cmpid=product.share.pp&_refId=PP.f0dd059e-d749-4599-8c93-eb278748732e.JCKFZFNGBKQYFETW&_appId=WA","500"
"4824","https://www.flipkart.com/aadi-synthetic-leather-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-sneakers-men/p/itma442bf9226209?pid=SHOGDZZEMFJN8GUB&cmpid=product.share.pp&_refId=PP.cf394c52-e0fc-47a9-a442-4b215d70091d.SHOGDZZEMFJN8GUB&_appId=CL","500"
"4870","https://dl.flipkart.com/s/EhM8NJN","500"
"4938","https://www.flipkart.com/seminol-spice-set-plastic-steel/p/itm284a3bd596fa0?pid=CDSG8PGMTKCQVSSV&cmpid=product.share.pp&_refId=PP.e2b57ed6-3be4-41e1-9d9d-b627e01e80c5.CDSG8PGMTKCQVSSV&_appId=CL","500"
